Year,Inflation,GDP_Growth,Interest_Rate,Unemployment_Rate
31,1991,4.234963965,-0.108312889,8.463333333
32,1992,3.028819678,3.522497184,6.251666667
33,1993,2.951656966,2.751795862,6
34,1994,2.607441592,4.029022729,7.138333333
35,1995,2.805419689,2.684430735,8.829166667
36,1996,2.9312042,3.772772686,8.270833333
37,1997,2.337689937,4.447127942,8.441666667
38,1998,1.552279099,4.483133346,8.354166667
39,1999,2.188027197,4.788425053,7.994166667
40,2000,3.376857271,4.077585758,9.233333333
41,2001,2.826171119,0.955538346,6.921666667
42,2002,1.586031627,1.700447324,4.675
43,2003,2.270094973,2.795605966,4.1225
44,2004,2.677236693,3.847771692,4.34
45,2005,3.392746845,3.483549938,6.189166667
46,2006,3.225944101,2.784539639,7.9575
47,2007,2.852672482,2.003858298,8.05
48,2008,3.839100297,0.113587248,5.0875
49,2009,-0.355546266,-2.576500234,3.25
50,2010,1.640043442,2.695192584,3.25
51,2011,3.156841569,1.564406854,3.25
52,2012,2.069337265,2.289113388,3.25
53,2013,1.464832656,2.117830099,3.25
54,2014,1.622222977,2.523819814,3.25
55,2015,0.118627136,2.945550455,3.26
56,2016,1.261583206,1.819451475,3.511666667
57,2017,2.130110004,2.457622303,4.096666667
58,2018,2.442583297,2.966505069,4.904166667
59,2019,1.812210075,2.58382533,5.2825
60,2020,1.233584396,-2.163029139,3.544166667
61,2021,4.697858864,6.055052933,3.25
62,2022,8.002799821,2.51237532,3.44
63,2023,4.116338384,2.887556009,4.4
